analysis,code,pseudocode
"A09 — Clinical, vaccination and ILI-history characteristics","rep = phys[phys.reported == 1]
lv = rep.ili_freq_ord4.value_counts().sort_index()
print(""susceptibility, four ordered levels, reporting cohort  "" +
      "" / "".join(str(int(x)) for x in lv) + f""   (n = {int(lv.sum())})"")
mod = rep[rep.comp_risk_any_nan.notna()]
lv2 = mod.ili_freq_ord4.value_counts().sort_index()
print(""susceptibility, four ordered levels, model sample      "" +
      "" / "".join(str(int(x)) for x in lv2) + f""   (n = {int(lv2.sum())})"")
for v, lab in [(""vax"", ""current-season vaccination""), (""prev_vax"", ""prior-season vaccination""),
               (""had_ili_prev"", ""prior-season influenza-like illness""),
               (""sought_care"", ""prior-season care-seeking"")]:
    s = rep[v].dropna()
    print(f""{lab:36s} {int(s.sum())} ({100*s.mean():.1f}%)"")
nd = int(rep.comp_risk_any_nan.isna().sum())
print(f""{'declined the health-condition item':36s} {nd} ({100*nd/len(rep):.1f}%) — kept missing"")
print(f""{'any health condition (valid n = ' + str(len(rep)-nd) + ')':36s} ""
      f""{int(rep.comp_risk_any_nan.sum())} ({100*rep.comp_risk_any_nan.mean():.1f}%)"")
record(""A09"", levels_248=[int(x) for x in lv], levels_242=[int(x) for x in lv2],
       vax=int(rep.vax.sum()), prev_vax=int(rep.prev_vax.sum()), declined=nd)","1. Collapse the self-reported annual influenza-like-illness frequency item to its four ordered levels and tabulate it over the reporting cohort, then over the model sample that excludes physicians who declined the health-condition item.
2. Report current-season and prior-season vaccination, prior-season illness and prior-season care-seeking.
3. Report how many physicians declined the health-condition question. Those responses stay missing; they are not imputed to zero, which is what fixes the individual-model sample at 242."
A10 — Occupational characteristics of patient-facing physicians,"occ = phys[phys.cohort_112_primary == 1]
print(f""patient-facing physicians                      {len(occ)}"")
print(f""with a daily patient-volume value              {int(occ.pat_per_day.notna().sum())} of {len(occ)}"")
s = occ.pat_per_day.dropna()
q1, q3 = s.quantile([.25, .75])
print(f""daily patient volume    median {s.median():g} (IQR {q1:g}-{q3:g}; range {s.min():g}-{s.max():g})"")
s = occ.nobet if ""nobet"" in occ else occ.oncall_any
for v, lab in [(""high_risk_unit"", ""works in a high-risk unit""), (""mask"", ""routine mask use""),
               (""oncall_any"", ""any monthly on-call duty"")]:
    x = occ[v].dropna()
    print(f""{lab:36s} {int(x.sum())} of {len(x)} ({100*x.mean():.1f}%)"")
print(""aerosol-generating procedure share (ordinal)"")
for k, c in occ.aerosol_ord.value_counts().sort_index().items():
    print(f""  level {int(k)}  {c} ({100*c/occ.aerosol_ord.notna().sum():.1f}%)"")
print(""primary patient group"")
for k, c in occ.primary_patient_group.value_counts().items():
    print(f""  {k:20s} {c}"")
record(""A10"", n_patient_facing=len(occ), n_complete=int(occ.pat_per_day.notna().sum()))","1. Restrict to physicians who perform face-to-face patient examination.
2. Tabulate high-risk unit, primary patient group, aerosol-generating procedure share, mask use and monthly on-call shifts as counts and percentages, and daily patient volume as a median with interquartile range.
3. Report how many of the patient-facing physicians have a daily patient-volume value, which fixes the complete-case occupational analysis set."
"A11 — Episode burden, cumulative incidence and recurrence","rep = phys[phys.reported == 1]
any_ep = (rep.n_episodes > 0)
rec = (rep.n_episodes >= 2)
print(f""cumulative season attack rate   {int(any_ep.sum())} of {len(rep)} ({100*any_ep.mean():.1f}%)"")
print(f""two or more episodes            {int(rec.sum())} ({100*rec.mean():.1f}%)"")
print(f""maximum episodes in a physician {int(rep.n_episodes.max())}"")
print(f""symptom-free reporters          {int((rep.n_episodes==0).sum())}  ""
      f""(distinct from the {int((phys.reported==0).sum())} never-reporters)"")
print(""\nepisode-count distribution"")
print(rep.n_episodes.value_counts().sort_index().to_string())
record(""A11"", attack_rate=100*any_ep.mean(), n_any=int(any_ep.sum()),
       recurrent=int(rec.sum()), max_ep=int(rep.n_episodes.max()),
       symptom_free=int((rep.n_episodes == 0).sum()))","1. Cumulative season attack rate is the share of reporting physicians with at least one incident episode.
2. Recurrence is the share with two or more; also report the maximum episode count in any one physician.
3. Report symptom-free reporters, that is reporters with no episode, and keep them distinct from the never-reporters, who filed nothing at all."
A12 — Agent-cluster distribution of incident episodes,"vc = episodes.cluster_letter.value_counts().reindex(list(""ABCD""))
labels = {""A"": ""A viral-systemic (influenza-like)"", ""B"": ""B viral-local"",
          ""C"": ""C bacterial"", ""D"": ""D indeterminate""}
for k, c in vc.items():
    print(f""{labels[k]:36s} {int(c):3d} ({100*c/len(episodes):.1f}%)"")
print(f""{'total incident episodes':36s} {len(episodes)}"")
print(f""\nseason participatory positivity (A-cluster share)  ""
      f""{int(vc['A'])} of {len(episodes)} = {100*vc['A']/len(episodes):.4f}%"")
record(""A12"", A=int(vc.A), B=int(vc.B), C=int(vc.C), D=int(vc.D),
       positivity=100*vc.A/len(episodes))","1. Tabulate the cleaned incident episodes by the physician's self-assigned agent cluster: A viral-systemic (the influenza-like proxy), B viral-local, C bacterial, D indeterminate.
2. Report counts and percentages of all incident episodes. The A-cluster share is the participatory positivity used in every system-level comparison."
A13 — Clinical course of influenza-like (A-cluster) episodes,"epA = episodes[episodes.cluster_letter == ""A""]
s = epA.max_symptom_days.dropna()
q1, q3 = s.quantile([.25, .75])
print(f""A-cluster episodes                     {len(epA)}"")
print(f""symptom duration, days    median {s.median():g} (IQR {q1:g}-{q3:g}; range {s.min():g}-{s.max():g})"")
print(f""any work absence                       {int(epA.any_work_absence.sum())} ""
      f""({100*epA.any_work_absence.mean():.1f}%)"")
tested = int(epA.any_test.sum())
print(f""an actual diagnostic test              {tested} ({100*tested/len(epA):.1f}% of A-cluster; ""
      f""{100*tested/len(episodes):.1f}% of all {len(episodes)} episodes)"")
# presenteeism: reported illness but could not interrupt work
PRES = ""Evet - ancak İŞE ARA VEREMEDİM""
sym = pw[(pw.symptomatic == 1) & (pw.symptom_week_cluster == ""A"")]
pres = sym.groupby(""episode_id_filled"").daily_routine_impact.apply(lambda s: (s == PRES).any())
print(f""worked through illness (presenteeism)  {int(pres.sum())} of {len(pres)} ""
      f""({100*pres.mean():.1f}%)"")
print(""\ndaily-routine impact, A-cluster symptomatic weeks"")
for k, c in sym.daily_routine_impact.value_counts().items():
    print(f""  {k[:64]:66s} {c}"")
record(""A13"", n_A=len(epA), median_days=float(s.median()),
       absence=int(epA.any_work_absence.sum()), tested=tested, presenteeism=int(pres.sum()))","1. Restrict to A-cluster episodes.
2. Report the median and interquartile range of the maximum reported symptom duration in days.
3. Report the count with any work absence, and the count whose weekly form records an actual diagnostic test rather than an intention to test.
4. Presenteeism is the count who reported illness but could not interrupt work; report it against A-cluster episodes and against all incident episodes."
A14 — Attributed source of infection by clinical role,"symA = pw[(pw.symptomatic == 1) & (pw.symptom_week_cluster == ""A"")]
flags = symA.groupby(""episode_id_filled"").agg(
    household=(""source_household"", ""max""), social=(""source_social"", ""max""),
    healthcare=(""source_healthcare"", ""max""), unknown=(""source_unknown"", ""max""),
    sees_pat=(""sees_pat"", ""first""))
tot = flags[[""household"", ""social"", ""healthcare"", ""unknown""]].sum()
print(f""A-cluster episodes {len(flags)}; source flags {int(tot.sum())}"")
for k, v in tot.items():
    print(f""  {k:12s} {int(v)}"")
print(""\nby clinical role, flags per 100 episodes"")
for r, lab in [(1, ""face-to-face examination""), (0, ""no face-to-face examination"")]:
    sub = flags[flags.sees_pat == r]
    per100 = 100 * sub[[""household"", ""social"", ""healthcare"", ""unknown""]].sum() / len(sub)
    print(f""  {lab:28s} (n = {len(sub):2d})  "" +
          ""  "".join(f""{k} {v:.1f}"" for k, v in per100.items()))
record(""A14"", flag_total=int(tot.sum()), household=int(tot.household),
       social=int(tot.social), healthcare=int(tot.healthcare), unknown=int(tot.unknown))","1. The source-of-infection question allows more than one answer, so flags are counted, not episodes: total flags can exceed the number of episodes.
2. Aggregate the weekly source flags to the episode through the forward-filled episode identifier, restricted to A-cluster episodes.
3. Report flags per category and the flag total, then the same counts split by whether the physician performs face-to-face examination, expressed per hundred episodes in each role so the two roles are comparable."
A15 — Season incidence rate per 100 at-risk person-weeks,"k, n_ar, n_pwk = int(pw.new_episode.sum()), int(pw.at_risk_new_episode.sum()), len(pw)
rate = 100 * k / n_ar
lo = 100 * stats.chi2.ppf(.025, 2*k) / 2 / n_ar
hi = 100 * stats.chi2.ppf(.975, 2*k+2) / 2 / n_ar
print(f""season incidence   {k} / {n_ar:,} at-risk person-weeks = {rate:.4f} per 100 ""
      f""(95% CI {lo:.2f}-{hi:.2f})"")
print(f""on filed person-weeks  {k} / {n_pwk:,} = {100*k/n_pwk:.4f} per 100"")
diff = int((wk.pw_at_risk_new != wk.person_weeks).sum())
print(f""weeks where the two denominators differ  {diff} of {N_WEEKS}"")
record(""A15"", rate=rate, ci_lo=lo, ci_hi=hi, rate_filed=100*k/n_pwk, weeks_differ=diff)","1. The numerator is incident episodes; the denominator is person-weeks at risk of a new episode, that is filed person-weeks less continuation weeks.
2. Express the crude rate per hundred at-risk person-weeks and attach an exact Poisson interval.
3. Report the filed-person-week rate alongside, and the number of weeks in which the two denominators differ, so that the choice of denominator is visible."
A16 — Weekly surveillance indicator panel,"SPARSE_THRESHOLD = 10                # roughly two-thirds of the 33-week median
panel = pd.DataFrame({
    ""week"": WEEKS, ""reporters"": wk.n_reporters, ""at_risk"": wk.pw_at_risk_new,
    ""episodes"": wk.n_new_episodes, ""A_episodes"": wk.n_new_A,
    ""part_positivity_pct"": part_share.round(2),
    ""sent_specimens"": wk.sb_ili_consultations, ""sent_positives"": wk.sb_positive_cases,
    ""sent_positivity_pct"": sent_share.round(2),
    ""ili_per_1000_at_risk"": wk.ili_rate_per1000_at_risk.round(2)})
panel[""sparse_flag""] = (wk.n_new_episodes < SPARSE_THRESHOLD).astype(int)
print(panel.to_string(index=False))
d = wk.n_new_episodes
print(f""\nparticipatory denominator  median {d.median():.0f}, range {d.min()}-{d.max()}"")
s = wk.sb_ili_consultations
print(f""sentinel specimens         mean {s.mean():.3f}, median {s.median():.0f}, ""
      f""range {s.min()}-{s.max()}; weeks below 100 specimens {int((s<100).sum())} of {N_WEEKS}"")
record(""A16"", denom_median=float(d.median()), denom_min=int(d.min()), denom_max=int(d.max()),
       sent_mean=float(s.mean()), sent_median=float(s.median()), sent_below100=int((s < 100).sum()))
WEEKLY_PANEL = panel","1. Assemble the weekly panel: participatory reporters, at-risk person-weeks, incident episodes, A-cluster episodes, participatory positivity, sentinel consultations, sentinel positives and sentinel positivity.
2. Describe the participatory denominator, that is all cleaned incident episodes in the week, and the sentinel specimen count.
3. Apply the sparse-week rule: flag weeks whose participatory denominator falls below ten. Flagging is disclosure only; no week is ever excluded."
A17 — Count-versus-rate trend check on the weekly series,"for lab, y in [(""weekly episode count"", wk.n_new_episodes),
               (""weekly rate per 1,000 at-risk person-weeks"", wk.ili_rate_per1000_at_risk),
               (""weekly rate per 1,000 filed person-weeks"", wk.ili_rate_per1000_pw)]:
    r, p = stats.pearsonr(wk.week_idx, y)
    print(f""{lab:44s} against week index  r = {r:+.5f}, p = {p:.6f}"")
r_c, p_c = stats.pearsonr(wk.week_idx, wk.n_new_episodes)
r_r, p_r = stats.pearsonr(wk.week_idx, wk.ili_rate_per1000_at_risk)
record(""A17"", r_count=r_c, p_count=p_c, r_rate=r_r, p_rate=p_r)","1. Correlate the weekly incident-episode count with the week index.
2. Correlate the weekly incidence rate on the at-risk denominator with the week index.
3. The two answer different questions: the count rises with the growing panel, the rate does not. Report both so the rising count is not read as an incidence trend.
4. Report the same correlation on the filed-person-week rate for comparison."
A18 — Dashboard reach and summary counters,"# service-reported counters, not carried in the analysis workbook
DASHBOARD_UNIQUE_VISITORS = 1504
DASHBOARD_PAGE_VIEWS = 3833
print(f""registered physicians (from the workbook)   {len(phys)}"")
print(f""unique visitors (service-reported)          {DASHBOARD_UNIQUE_VISITORS:,}"")
print(f""page views (service-reported)               {DASHBOARD_PAGE_VIEWS:,}"")
print(f""page views per unique visitor               ""
      f""{DASHBOARD_PAGE_VIEWS/DASHBOARD_UNIQUE_VISITORS:.2f}"")
record(""A18"", registered=len(phys), visitors=DASHBOARD_UNIQUE_VISITORS,
       page_views=DASHBOARD_PAGE_VIEWS)","1. The dashboard reach counters — unique visitors and page views — are service-reported figures held outside the analysis workbook, so they are entered here as declared inputs and labelled as such.
2. Report them beside the registered-physician count from the workbook, which is the one counter this notebook can verify."
A19 — Person-week panel structure and counting-process construction,"assert (pw.tstop - pw.tstart == 1).all()
assert (pw.tstart == pw.week_idx - 1).all()
assert (pw.event == pw.new_episode).all()
assert (pw.gap_before_derived == pw.gap_before).all()
print(f""panel rows {len(pw):,}  physicians {pw.participant_id.nunique()}  ""
      f""events {int(pw.event.sum())}"")
print(f""at risk {int(pw.at_risk_new_episode.sum()):,} = filed {len(pw):,} ""
      f""less continuation {int(pw.symptomatic.sum()-pw.new_episode.sum())}"")
wpp = pw.groupby(""participant_id"").size()
print(f""weeks per physician   median {wpp.median():.0f}, mean {wpp.mean():.3f}, ""
      f""range {wpp.min()}-{wpp.max()}"")
gaps = pw.groupby(""participant_id"").gap_before_derived.sum()
print(f""physicians with at least one gap  {int((gaps>0).sum())} of {len(gaps)}; ""
      f""total gaps {int(gaps.sum())}"")
runs = pw.groupby(""participant_id"").gap_before_derived.sum() + 1
print(f""contiguous runs per physician  median {runs.median():.0f}, max {int(runs.max())}"")
first = pw.groupby(""participant_id"").week_idx.min()
print(f""registration staggering: first observed week  median {first.median():.0f}, ""
      f""range {first.min()}-{first.max()}; ""
      f""{int((first==1).sum())} physicians present from the opening week"")
print(""\nfirst observed week, distribution over the first eight weeks"")
print(first.value_counts().sort_index().head(8).to_string())
record(""A19"", rows=len(pw), physicians=int(pw.participant_id.nunique()),
       events=int(pw.event.sum()), n_with_gap=int((gaps > 0).sum()), n_gaps=int(gaps.sum()))","1. Verify the counting-process construction: every filed week is one row with a half-open interval on the total-time clock, so start equals week index minus one and stop equals week index.
2. Confirm that the event indicator equals the incident-episode indicator and sums to the episode total.
3. Describe the panel: weeks per physician, physicians with at least one gap, the number and length of contiguous runs, and registration staggering measured as the distribution of first observed weeks.
4. Confirm that at-risk equals filed less continuation weeks, and that the derived gap indicator agrees with the stored one."
A19 — Person-week panel structure and counting-process construction,"suppressMessages({library(survival); library(MASS); library(nnet); library(lme4)
                  library(geepack); library(pROC)})
options(width = 200, stringsAsFactors = FALSE)

DATA <- ""SALGINTR_Unified_Dataset_20260809.xlsx""

phys     <- as.data.frame(readxl::read_excel(DATA, sheet = ""01_Physicians""))
pw       <- as.data.frame(readxl::read_excel(DATA, sheet = ""02_PersonWeeks""))
episodes <- as.data.frame(readxl::read_excel(DATA, sheet = ""03_Episodes""))
wsys     <- as.data.frame(readxl::read_excel(DATA, sheet = ""04_WeeklySystem""))

pw <- pw[order(pw$participant_id, pw$week_idx), ]
pw$first_obs  <- unlist(lapply(split(pw$week_idx, pw$participant_id),
                               function(w) as.integer(seq_along(w) == 1)))
pw$prev_wk    <- ave(pw$week_idx,    pw$participant_id, FUN = function(w) c(NA, head(w, -1)))
pw$prev_sym   <- ave(pw$symptomatic, pw$participant_id, FUN = function(w) c(NA, head(w, -1)))
pw$gap_len    <- pw$week_idx - pw$prev_wk - 1
pw$ev_prior   <- ave(pw$event, pw$participant_id, FUN = function(x) cumsum(c(0, head(x, -1))))
pw$ever_vax   <- as.integer(!is.na(pw$vax_week_idx))
LASTWK        <- max(pw$week_idx)

cat(""registered physicians                 :"", nrow(phys), ""\n"")
cat(""reporting physicians (>=1 weekly form):"", sum(phys$cohort_248_reporter == 1), ""\n"")
cat(""never-reporters                       :"", sum(phys$cohort_248_reporter == 0), ""\n"")
cat(""filed person-weeks                    :"", nrow(pw), ""\n"")
cat(""physicians in the panel               :"", length(unique(pw$participant_id)), ""\n"")
cat(""at-risk person-weeks                  :"", sum(pw$at_risk_new_episode), ""\n"")
cat(""symptomatic person-weeks              :"", sum(pw$symptomatic), ""\n"")
cat(""continuation weeks (sympt, not onset) :"", sum(pw$symptomatic == 1 & pw$new_episode == 0), ""\n"")
cat(""incident episodes                     :"", sum(pw$new_episode), ""\n"")
cat(""episodes with event indicator         :"", sum(pw$event), ""\n"")
cat(""agent clusters A/B/C/D                :"",
    sum(pw$event_A), ""/"", sum(pw$event_B), ""/"", sum(pw$event_C), ""/"", sum(pw$event_D), ""\n"")
cat(""weeks in the season                   :"", LASTWK, ""\n"")
cat(""forms filed in the final week         :"", sum(pw$week_idx == LASTWK), ""\n\n"")

cat(sprintf(""season incidence, at-risk denominator : %.5f episodes per 100 at-risk person-weeks\n"",
            100 * sum(pw$event) / sum(pw$at_risk_new_episode)))
cat(sprintf(""attack rate (>=1 episode)             : %.4f%%\n"",
            100 * mean(phys$any_symptom[phys$cohort_248_reporter == 1] > 0)))","1. Set DATA to the workbook filename. The workbook must sit in the same folder as this notebook; if a later dated release supersedes this one, DATA is the single line to change.
2. Read the physician sheet, the person-week sheet, the episode sheet and the weekly system sheet with readxl.
3. Sort the person-week panel by physician identifier and then by week index, so that the counting-process intervals are in time order within each physician.
4. Derive, within each physician's own record: whether the week is that physician's first observed week, and whether a reporting gap immediately precedes the week.
5. Print the panel structure checks that every later block depends on: number of filed person-weeks, number of physicians, at-risk person-weeks, symptomatic weeks, continuation weeks (symptomatic but not a new onset), incident episodes, and the episode count in each of the four agent clusters.
6. Compute the season incidence on the AT-RISK denominator as 1000 times new episodes divided by at-risk person-weeks. The stored weekly rate columns follow the filed denominator instead and are never read."
A20 — Vaccinated person-week partition under the two-week interval,"vaxwk = pw[pw.vax == 1]
n_vax = len(vaxwk)
n_prot = int(pw.vax_protected.sum())
n_interval = int(((vaxwk.week_idx >= vaxwk.vax_week_idx) &
                  (vaxwk.week_idx < vaxwk.vax_week_idx + 2)).sum())
n_before = int((vaxwk.week_idx < vaxwk.vax_week_idx).sum())
print(f""person-weeks of vaccinated physicians   {n_vax:,}"")
print(f""  preceding the vaccination week        {n_before}"")
print(f""  inside the two-week interval          {n_interval} ({100*n_interval/n_vax:.3f}% of {n_vax:,})"")
print(f""  protected                             {n_prot:,}"")
assert n_before + n_interval + n_prot == n_vax
print(f""protected share of the full {len(pw):,}-week panel  ""
      f""{100*n_prot/len(pw):.3f}%"")
record(""A20"", vax_weeks=n_vax, protected=n_prot, interval=n_interval, before=n_before,
       protected_share=100*n_prot/len(pw))
PROTECTED_SHARE = n_prot / len(pw)","1. Vaccination enters the incidence models as a TIME-VARYING indicator: a person-week counts as protected only from two weeks after the vaccination week.
2. Partition the person-weeks of vaccinated physicians into three exclusive parts: weeks preceding the vaccination week, weeks inside the two-week interval, and protected weeks.
3. Verify the three parts sum to the vaccinated person-week total, and express the protected weeks as a share of the whole panel, which is the exposed person-time share the power calculations use."
A20 — Vaccinated person-week partition under the two-week interval,"vx        <- pw[pw$ever_vax == 1, ]
protected <- vx$vax_protected == 1
interval  <- vx$vax_protected == 0 & vx$week_idx >= vx$vax_week_idx
before    <- vx$week_idx < vx$vax_week_idx

cat(""person-weeks of vaccinated physicians  :"", nrow(vx),
    "" ("", length(unique(vx$participant_id)), ""physicians )\n"")
cat(""  protected person-time                :"", sum(protected), ""\n"")
cat(""  inside the two-week interval         :"", sum(interval),
    sprintf("" (%.3f%% of the vaccinated weeks)\n"", 100 * mean(interval)))
cat(""  preceding the vaccination week       :"", sum(before), ""\n"")
cat(""  partition sums to the total          :"", sum(protected) + sum(interval) + sum(before) == nrow(vx), ""\n"")
PROT_SHARE <- mean(pw$vax_protected)
cat(sprintf(""protected share of the full 4,729-week panel : %.5f  (%.3f%%)\n"",
            PROT_SHARE, 100 * PROT_SHARE))","1. Restrict to person-weeks contributed by physicians who reported a current-season vaccination week.
2. Partition those weeks into three mutually exclusive and exhaustive groups: weeks at or after two weeks from the reported vaccination week (protected person-time, the exposed state); weeks inside the two-week interval, that is, at or after the vaccination week but not yet two weeks past it; and weeks preceding the vaccination week.
3. Check that the three parts sum to the total, print each count, express the interval weeks as a share of the vaccinated total, and express protected weeks as a share of the whole panel — this last share is the input to the minimum-detectable-effect calculation."
A20 — Vaccinated person-week partition under the two-week interval,"cat(""two-week interval sensitivity: delay from the reported vaccination week to protected time\n\n"")
for (dl in 0:4) {
  vp <- as.integer(!is.na(pw$vax_week_idx) & pw$week_idx >= pw$vax_week_idx + dl)
  d <- pw; d$vp <- vp
  fa <- coxph(Surv(tstart, tstop, event_A) ~ vp + age10 + school_kids_any + ili_freq_ord4 +
              frailty(participant_id, distribution = ""gamma""), data = d, ties = ""efron"")
  fl <- coxph(Surv(tstart, tstop, event) ~ vp + age10 + school_kids_any + ili_freq_ord4 +
              frailty(participant_id, distribution = ""gamma""), data = d, ties = ""efron"")
  ba <- fa$coefficients[1]; sa <- sqrt(diag(fa$var))[1]; bl <- fl$coefficients[1]
  cat(sprintf(""delay = %d week(s)%s  exposed weeks = %4d   A-cluster HR = %.4f (%.4f-%.4f) VE = %5.1f%%   all-ILI HR = %.4f VE = %4.1f%%\n"",
      dl, ifelse(dl == 2, "" [of record]"", ""           ""), sum(vp),
      exp(ba), exp(ba - 1.96 * sa), exp(ba + 1.96 * sa), 100 * (1 - exp(ba)),
      exp(bl), 100 * (1 - exp(bl))))
}
cat(""\npanel-definition comparison\n\n"")
for (nm in c(""full filed panel (of record)"", ""at-risk person-weeks only"")) {
  d <- if (grepl(""full"", nm)) pw else pw[pw$at_risk_new_episode == 1, ]
  f <- coxph(as.formula(paste(""Surv(tstart, tstop, event) ~"", M5_RHS,
             ""+ frailty(participant_id, distribution = 'gamma')"")), data = d, ties = ""efron"")
  cat(sprintf(""%-30s person-weeks = %4d  events = %3d  theta = %.4f\n"",
      nm, nrow(d), sum(d$event), f$history[[1]]$theta))
  print(hr_table(f, 4))
  cat(""\n"")
}","1. For the interval sensitivity, rebuild the time-varying exposure indicator with the delay between the reported vaccination week and the start of protected time set to zero, one, two, three and four weeks in turn. Two weeks is the definition of record; the rest show whether the contrast depends on that choice.
2. At each delay report the number of exposed person-weeks and refit both the A-cluster and the all-ILI contrasts with the specification unchanged.
3. For the panel-definition comparison, refit the primary model on the full filed panel of 4,729 weeks (the definition of record) and then on at-risk weeks only, 4,626. The at-risk restriction removes the 103 continuation weeks, which carry no onset but do carry exposure and covariate time.
4. Print both fits and their frailty variances so the reader can see what the restriction costs."
